"","class_name","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9"
"28",0,0.250000,0.169492,0.000000,0.000000,0.000000,2654.000000,41.000000,51.000000,1.000000,258.000000
"29",0,0.256410,0.222222,0.000000,0.000000,0.000000,2869.000000,48.000000,35.000000,1.000000,267.000000
"30",0,0.212766,0.172414,0.000000,0.000000,0.000000,2721.000000,49.000000,51.000000,1.000000,220.000000
"31",0,0.454545,0.344828,0.000000,0.000000,0.000000,2456.000000,46.000000,25.000000,1.000000,246.000000
"32",0,0.476190,0.250000,0.000000,0.000000,0.000000,2669.000000,38.000000,33.000000,1.000000,257.000000
"33",0,0.666667,0.200000,0.000000,0.000000,0.000000,2702.000000,21.000000,41.000000,1.000000,262.000000
"34",0,0.312500,0.185185,0.000000,0.000000,0.000000,2601.000000,32.000000,44.000000,1.000000,236.000000
"35",0,0.256410,0.151515,0.000000,0.000000,0.000000,2600.000000,48.000000,56.000000,1.000000,239.000000
"36",0,0.256410,0.172414,0.000000,0.000000,0.000000,2544.000000,53.000000,48.000000,1.000000,237.000000
"37",0,0.454545,0.151515,0.000000,0.000000,0.000000,2614.000000,65.000000,59.000000,1.000000,230.000000
"38",0,0.476190,0.232558,0.000000,0.000000,0.000000,2720.000000,25.000000,33.000000,1.000000,287.000000
"39",0,0.217391,0.250000,0.000000,0.000000,0.000000,2776.000000,34.000000,30.000000,1.000000,274.000000
"40",0,0.196078,0.200000,0.000000,0.000000,0.000000,2815.000000,26.000000,40.000000,1.000000,255.000000
"41",0,0.185185,0.232558,0.000000,0.000000,0.000000,2528.000000,46.000000,36.000000,1.000000,250.000000
"42",0,0.277778,0.178571,0.000000,0.000000,0.000000,2805.000000,30.000000,50.000000,1.000000,293.000000
"43",0,0.243902,0.196078,0.000000,0.000000,0.000000,2512.000000,42.000000,42.000000,1.000000,237.000000
"44",0,0.555556,0.133333,0.000000,0.000000,0.000000,2677.000000,56.000000,68.000000,1.000000,220.000000
"45",0,0.434783,0.250000,0.000000,0.000000,0.000000,2652.000000,18.000000,31.000000,1.000000,269.000000
"46",0,0.384615,0.263158,0.000000,0.000000,0.000000,2569.000000,43.000000,28.000000,1.000000,256.000000
"47",0,0.625000,0.294118,0.000000,0.000000,0.000000,2457.000000,53.000000,25.000000,1.000000,235.000000
"48",0,0.232558,0.232558,0.000000,0.000000,0.000000,2887.000000,24.000000,34.000000,1.000000,282.000000
"49",0,0.434783,0.142857,0.000000,0.000000,0.000000,2680.000000,38.000000,64.000000,1.000000,236.000000
"50",0,0.312500,0.166667,0.000000,0.000000,0.000000,2749.000000,42.000000,54.000000,1.000000,269.000000
"51",0,0.344828,0.256410,0.000000,0.000000,0.000000,2739.000000,41.000000,29.000000,1.000000,254.000000
"52",0,0.416667,0.181818,0.000000,0.000000,0.000000,2867.000000,17.000000,50.000000,1.000000,281.000000
"53",0,0.344828,0.212766,0.000000,0.000000,0.000000,2667.000000,28.000000,40.000000,1.000000,234.000000
"54",0,0.277778,0.133333,0.000000,0.000000,0.000000,2953.000000,31.000000,67.000000,1.000000,287.000000
